REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
16;33055726;CE Joaquim Távora;29.883.063/0001-15;2510 - 0000180700; R$ 16.148,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
17;33056471;CE José Bonifácio;01.385.829/0001-12;0309 - 0002019019; R$ 5.570,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
18;33056480;CE Leopoldo Froes;00.927.744/0001-56;2187 - 0000212245; R$ 15.393,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
19;33055734;CE Machado de Assis;29.875.267/0001-04;2809 - 0000179620; R$ 9.948,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
20;33056498;CE Manuel de Abreu;00.631.907/0001-59;2510 - 0000180645; R$ 14.309,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
21;33056501;CE Maria Pereira da Neves;00.802.607/0001-95;2510 - 0000180378; R$ 4.795,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
22;33172919;CE Matemático Joaquim Gomes de Sousa   Intercultural Brasil China;25.462.833/0001-03;3500 - 275816; R$ 7.608,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
23;33055742;CE Mullulo da Veiga;02.318.130/0001-00;0309 - 0002019175; R$ 8.264,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
24;33055750;CE Paulo Assis Ribeiro;01.513.722/0001-02;2187 - 0000212202; R$ 11.677,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
25;33056560;CE Pinto Lima;03.798.494/0001-90;3086 - 0000898953; R$ 4.452,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
26;33057702;CE Professora Alcina Rodrigues Lima;00.627.941/0001-50;1186 - 0000034312; R$ 11.136,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
27;33055769;CE Raul Vidal;00.633.836/0001-23;3086 - 0000878782; R$ 20.428,40 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
28;33055785;CE Zuleika Raposo Valadares;01.565.553/0001-54 ;3500 - 0000265004; R$ 3.535,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
29;33056390;EE Doutor Memória;02.226.261/0001-50;2807 - 0000201049; R$ 4.728,40 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
30;33056510;EE Menezes Vieira;03.138.370/0001-88;3086 - 0000899941; R$ 6.297,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
31;33056595;EE São Domingos Sávio;01.976.742/0001-10;0541 - 0000833517; R$ 2.791,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
32;33056420;EEEE Anne Sullivan;00.672.060/0001-50;3086 - 0000865842; R$ 2.700,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
33;33056579;EEEE Professor Álvaro Caetano de Oliveira;00.771.802/0001-03;0309 - 0002019124; R$ 2.700,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
34;33055467;CIEP 251 Dona Maria Portugal;01.016.042/0001-83;2809 - 0000178799; R$ 3.400,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
35;33102520;CIEP 307 Djanira;01.107.453/0001-84;3500 - 0000254479; R$ 8.477,40 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
36;33108579;CIEP 448 Ruy Frazão Soares;02.231.817/0001-04;1186 - 0000037362; R$ 13.195,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
37;33096805;CIEP 449 Governador Leonel Brizola;01.286.878/0001-06;6566 - 0000005150; R$ 8.037,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
38;33102490;CIEP 450 Emiliano Di Cavalcanti;01.880.373/0001-67;2187 - 0000212237; R$ 7.193,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
39;33057117;IE Professor Ismael Coutinho;30.343.370/0001-92;3071 - 0000247642; R$ 18.076,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
40;33057508;Liceu Nilo Peçanha;29.717.683/0001-84;0309 - 23892; R$ 34.066,60 ;2021NE01502;2021NL01481;2021PD01858;IMPEDIDA
40;;NITERÓI;;; R$ 380.257,40 ;;;;
ITEM;código;RIO BONITO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33044368;CE Antônio Lopes de Campos Filho;00.963.915/0001-00;2055 - 0000145025; R$ 3.400,00 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
2;33044384;CE Barão do Rio Branco;02.174.439/0001-66;2055 - 0000145017; R$ 5.546,20 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
3;33044708;CE Bernardino da Costa Lopes;00.972.113/0001-59;2055 - 0000145050; R$ 5.424,80 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
4;33044333;CE Desembargador José Augusto Coelho Rocha Junior;01.079.817/0001-60;2055 - 0000145068; R$ 17.892,80 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
5;33044325;CE José Matoso de Maia Forte;01.895.284/0001-94;2055 - 0000145076; R$ 4.663,40 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
6;33044473;CE Professor Dyrceu Rodrigues da Costa;01.800.706/0001-09;2055 - 0000145084; R$ 4.169,20 ;2021NE01533;2021NL01406;2021PD01771;2021LB17915
7;33091412;CE CABO PM RAPHAEL DE OLIVEIRA MONTEIRO;0;0; R$ 1.700,00 ;2021NE01535;2021NL01409;2021PD01773;IMPEDIDA
7;;RIO BONITO;;; R$ 42.796,40 ;;;;
ITEM;código;SÃO PEDRO DA ALDEIA                                                                                        ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33028125;CE Almirante Tamandaré;00.835.570/0001-00;1899 - 0000204382; R$ 8.135,40 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
2;33028133;CE Doutor Feliciano Sodré;00.872.928/0001-66;1899 - 0000204390; R$ 18.625,60 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
