REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
23;33059322;CE Maria Justiniano Fernandes;01.212.328/0001-34;0406 - 0001855174; R$ 5.423,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
24;33058695;CE Milton Campos;00.785.219/0001-43;0406 - 0001856537; R$ 10.971,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
25;33059373;CE Natividade Patricio Antunes;00.768.904/0001-61;0876 - 0000098353; R$ 5.147,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
26;33059381;CE Professor Amazor Vieira Borges;00.771.483/0001-28;0876 - 0000098337; R$ 7.475,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
27;33058733;CE Professora Evangelina Soares de Moura;00.927.312/0001-45;0406 - 0001854879; R$ 7.085,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
28;33117764;CE Professora Maria Helena Amaral Alarcão;02.821.297/0001-81;0876 - 0000098604; R$ 4.038,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
29;33058741;CE Professora Maria José Raunhetti Duccini;00.834.316/0001-89;0406 - 0001854585; R$ 7.387,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
30;33060878;CE Professora Marina Bento;01.209.599/0001-30;0933 - 0000048046; R$ 4.615,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
31;33059403;CE Professora Venina Corrêa Torres;00.785.223/0001-01;0406 - 0001855140; R$ 3.065,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
32;33060746;CE Santa Rita de Cássia;00.791.542/0001-20;3079 - 0001062107; R$ 10.207,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
33;33059454;CE Santo Antonio de Pádua;00.924.101/0001-59;0406 - 0001855158; R$ 11.323,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
34;33061769;CE São Francisco de Paula;01.123.914/0001-02;2163 - 0000024902; R$ 13.615,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
35;33059446;CE São Jorge ;00.863.556/0001-01;0406 - 0001854992; R$ 10.531,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
36;33058750;CE São Judas Tadeu;00.788.964/0001-46;0876 - 0000098302; R$ 10.221,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
37;33058768;CE Sargento Antonio Ernesto;00.892.009/0001-54;0406 - 0001857002; R$ 12.069,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
38;33059462;CE Vereador Percy Batista Crispim;00.817.842/0001-30;0406 - 0001855131; R$ 4.956,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
39;33058776;CE Vicentina Goulart;00.781.490/0001-00;0933 - 0000045179; R$ 19.929,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
40;33059470;CE Yonne Maria Siqueira de Andrade;00.949.060/0001-55;2163 - 0000030104; R$ 6.670,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
41;33059225;EE Capitão Joaquim Quaresma de Oliveira ;00.781.325/0001-59;3402 - 0000526576; R$ 4.687,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
42;33061890;EE Humberto de Campos ;00.811.980/0001-02;3402 - 0000526584; R$ 8.753,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
43;33059411;EE João do Vale;00.775.241/0001-02;0406 - 0001854852; R$ 5.176,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
44;33059306;EE Machado de Assis;30.619.969/0001-06;1207 - 0000029688; R$ 5.180,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
45;33059330;EE Mestre Hiram;00.795.637/0001-11;3402 - 0000526711; R$ 3.869,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
46;33059357;EE Monsenhor João Musch ;00.785.225/0001-09;3402 - 0000526568; R$ 3.898,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
47;33060860;EE Nilo Peçanha;00.813.968/0001-37;0933 - 0000045845; R$ 4.034,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
48;33060720;CIEP 021 General Osório;00.770.724/0001-14;3402 - 0000526533; R$ 12.065,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
49;33058393;CIEP 025 Getulio Sales Rodrigues;00.781.729/0001-42;0406 - 0001854933; R$ 6.859,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
50;33058466;CIEP 026 São Vicente de Paula;00.807.411/0001-93;3402 - 0000526649; R$ 11.004,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
51;33058326;CIEP 075 Jardim Cabuçu;00.750.010/0001-44;0406 - 0001854470; R$ 22.177,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
52;33058440;CIEP 113 Waldick Pereira;00.781.727/0001-53;0876 - 0000098310; R$ 14.687,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
53;33058377;CIEP 117 Carlos Drumond de Andrade;00.802.182/0001-14;0876 - 0000098299; R$ 12.708,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
54;33058180;CIEP 119 Austin;00.783.075/0001-96;3079 - 0001061585; R$ 23.550,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
55;33058474;CIEP 134 Vereador José Lopes Araújo;00.783.419/0001-67;0406 - 0001854860; R$ 22.248,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
56;33058334;CIEP 166  Abilio Augusto Tavora ;01.903.811/0001-65;3079 - 0001063898; R$ 11.058,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
57;33058199;CIEP 167  Jardim Paraíso;01.970.126/0001-51;0933 - 0000051209; R$ 12.157,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
58;33100322;CIEP 168 Ilda Silveira Rodrigues;00.795.853/0001-67;0406 - 0001855115; R$ 15.819,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
59;33097020;CIEP 172 Nelson Rodrigues;01.278.769/0001-39;0876 - 0000098345; R$ 14.198,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
60;33058415;CIEP 188 Mariano Flor Cavalcante;00.837.895/0001-13;0406 - 0001855700; R$ 6.485,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
61;33058458;CIEP 196 São Teodoro;00.809.373/0001-08;0406 - 0001855913; R$ 9.566,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
62;33058202;CIEP 200 Recanto dos Colibris;01.161.796/0001-27;0933 - 0000045020; R$ 7.328,20 ;2021NE01422;2021NL01405;2021PD01747;IMPEDIDA
63;33058210;CIEP 216 Prefeito Juarez Antunes;00.885.432/0001-27;0406 - 0001857010; R$ 12.946,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
64;33058342;CIEP 317 Aurélio Buarque de Holanda;01.175.373/0001-66;0406 - 0001854950; R$ 9.722,20 ;2021NE01427;2021NL01407;2021PD01749;IMPEDIDA
65;33058237;CIEP 324 Mahatma Gandhi;00.817.358/0001-01;0406 - 0001857029; R$ 12.271,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
66;33097275;CIEP 333 Cacilda Becker;00.783.099/0001-45;0933 - 0000045713; R$ 13.176,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
67;33058245;CIEP 334 Moacyr José Pereira Gerk;00.804.766/0001-29;0933 - 0000045241; R$ 6.331,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
68;33098123;CIEP 345 Y Juca Pirama;01.041.213/0001-24;1207 - 0000029653; R$ 5.200,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
69;33046549;CIEP 351 Ministro Salgado Filho;01.223.062/0001-25;0933 - 0000045772; R$ 11.948,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
70;33060711;CIEP 352 Senador Severo Gomes ;00.775.261/0001-83;0406 - 0001853406; R$ 12.536,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
71;33060193;CIEP 354 Martins Pena;01.891.717/0001-33;0406 - 0001857037; R$ 15.292,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
72;33058261;CIEP 356 Augusto Ruschi;00.814.952/0001-49;2163 - 0000030112; R$ 4.607,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
73;33060177;CIEP 358 Alberto Pasqualini;01.432.227/0001-79;0406 - 0001854763; R$ 14.740,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
74;33058270;CIEP 359 Charles Perrault;00.856.362/0001-89;2163 - 0000030147; R$ 10.610,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
75;33058288;CIEP 365 Asa Branca;00.804.797/0001-80;0406 - 0001855123; R$ 6.399,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
76;33060185;CIEP 383 Máximo Gorki;01.281.102/0001-95;3402 - 0000528838; R$ 12.489,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
77;33058296;CIEP 387 Hans Christian Andersen;00.805.670/0001-85;0876 - 0000098418; R$ 5.197,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
78;33058300;CIEP 390 Chão de Estrela;00.794.435/0001-55;3079 - 0001062395; R$ 14.549,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
79;33058318;CIEP 394 Cândido Augusto Ribeiro Neto;00.781.488/0001-31;0406 - 0001854941; R$ 16.874,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
80;33058407;CIEP 395 Luiz Henrique Rezende Novaes;00.815.968/0001-76;2163 - 0000030139; R$ 6.676,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
81;33060274;IE Rangel Pestana;00.735.081/0001-78;3079 - 0001062069; R$ 32.039,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
81;;NOVA IGUAÇU;;; R$ 830.531,60 ;;;;
ITEM;código;QUEIMADOS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33061874;CE Dom Bosco;01.082.603/0001-42;2089 - 0000397512; R$ 10.165,00 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
2;33061866;CE Dom João VI;00.792.835/0001-21;2089 - 0000397598; R$ 12.764,40 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
3;33061742;CE Prefeito Luiz Guimarães;00.771.647/0001-17;1174 - 0000050407; R$ 26.916,00 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
4;33061920;CE Raymundo Correa;00.771.649/0001-06;2089 - 0006018297; R$ 10.557,20 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
5;33061750;CE São Cristóvão;00.739.159/0001-22;1174 - 0000050202; R$ 16.075,60 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
6;33061939;CE São João;01.434.874/0001-10;1174 - 0000030732; R$ 11.219,40 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
7;33099901;CIEP 335 Professor Joaquim de Freitas;02.377.316/0001-22;2089 - 0000397563; R$ 9.278,40 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
8;33096740;CIEP 341 Sebastião Pereira Pontes;00.848.182/0001-55;2089 - 0000397539; R$ 9.861,60 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
9;33097607;CIEP 344 Adoniran Barbosa;00.806.005/0001-06;2089 - 0000397318; R$ 7.670,40 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
10;33099898;CIEP 346 Belarmino Alfredo dos Santos;01.916.460/0001-27;1174 - 0000050300; R$ 17.351,60 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
11;33097062;CIEP 355 Roquete Pinto;00.785.838/0001-38;1174 - 0000050105; R$ 25.989,00 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
12;33097151;CIEP 396 Luiz Peixoto;01.105.015/0001-87;2089 - 0000397270; R$ 13.574,00 ;2021NE01433;2021NL01410;2021PD01751;2021LB17927
12;;QUEIMADOS;;; R$ 171.422,60 ;;;;
101;;TOTAL DA REGIONAL METROPOLITANA I;;; R$ 1.069.722,60 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA II;;;;;;;
ITEM;código;ITABORAÍ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33051879;CE Doutor Moacyr Meirelles Padilha;02.520.624/0001-65;1948 - 0000570427; R$ 4.531,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
2;33051739;CE Francesca Carey;01.951.137/0001-94;1948 - 0000570575; R$ 5.069,80 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
3;33051844;CE Hilka de Araújo Peçanha;01.943.611/0001-36;1948 - 0000574740; R$ 4.953,80 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
4;33052255;CE Jovina Amaral Oliveira;03.157.014/0001-01;1948 - 0000572306; R$ 2.758,80 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
5;33052069;CE Professora Maria Inocência Ferreira;02.645.150/0001-88;1948 - 0000574430; R$ 4.463,80 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
6;33051518;CE Salvador de Mendonça;00.854.944/0001-26;1948 - 0000574651; R$ 8.034,40 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
7;33051380;CE Visconde de Itaboraí;00.786.476/0001-08;1948 - 0000570559; R$ 28.008,00 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
8;33051330;CIEP 129  José Maria Nanci;01.015.471/0001-36;1948 - 0000570010; R$ 7.506,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
9;33051321;CIEP 130  Doutor Elias Miranda Saraiva;01.079.820/0001-83;1948 - 0000570532; R$ 17.291,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
10;33097054;CIEP 308 Pascoal Carlos Magno;01.961.084/0001-92;1948 - 0000570435; R$ 10.046,80 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
11;33098794;CIEP 415 Miguel de Cervantes;01.489.827/0001-73;1948 - 0000570540; R$ 15.562,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
12;33097046;CIEP 424  Pedro Amorim;01.942.702/0001-57;1948 - 0000574422; R$ 7.739,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
13;33098808;CIEP 426 Eduardo Ribeiro de Carvalho;01.552.292/0001-38;1948 - 0000570516; R$ 7.801,40 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
14;33097178;CIEP 451  Elisa Antônia Rainho Dias;01.906.680/0001-70;1948 - 0000569909; R$ 7.231,40 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
15;33098786;CIEP 453 Doutor Milton Rodrigues Rocha;01.476.064/0001-26;1948 - 0000570567; R$ 16.310,20 ;2021NE01512;2021NL01382;2021PD01742;2021LB17978
15;;ITABORAÍ;;; R$ 147.308,40 ;;;;
ITEM;código;SÃO GONÇALO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33090815;CE Alecrim ;02.054.394/0001-96;2095 - 0000017051; R$ 6.598,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
2;33090270;CE Amanda Velasco;01.127.128/0001-83;2095 - 0000016829; R$ 11.788,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
3;33089043;CE Armando Gonçalves;01.366.461/0001-45;6462 - 0000001201; R$ 9.598,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
4;33090300;CE Augusto Cezário Diaz André;00.894.631/0001-00;2095 - 0000017078; R$ 13.068,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
5;33091340;CE Capitão Oswaldo Ornellas;01.017.852/0001-54;2812 - 0000212946; R$ 11.610,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
6;33507210;CE Comendador Valentin dos Santos Diniz   NATA - Núcleo Avançado em Tecnologia de Alimentos e Gestão do Cooperativismo;11.504.695/0001-65;6666 - 0000001570; R$ 10.186,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
7;33091382;CE Coronel Francisco Lima;01.931.601/0001-80;2812 - 0000218006; R$ 7.928,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
8;33091390;CE Coronel João Tarcísio Bueno ;01.350.075/0001-65;2812 - 0000212253; R$ 10.851,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
9;33090823;CE Coronel Serrado;01.353.352/0001-93;2034 - 0000536407; R$ 5.595,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
10;33090327;CE Desembargador Álvaro Ferreira Pinto;00.977.758/0001-84;2095 - 0000016950; R$ 7.557,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
11;33090831;CE Dom Antônio de Almeida Moraes Júnior;01.265.648/0001-52;6462 - 0000000450; R$ 6.576,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
12;33090246;CE Dorval Ferreira da Cunha;03.072.488/0001-50;2809 - 0000178721; R$ 13.088,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
13;33089051;CE Doutor Adino Xavier;00.793.731/0001-31;1128 - 0000042404; R$ 25.486,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
14;33090840;CE Doutor Armando Sá Couto;03.330.394/0001-34;2034 - 0000536504; R$ 4.492,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
15;33090343;CE Doutor Humberto Soeiro de Carvalho;00.952.451/0001-29;2190 - 0000037206; R$ 4.192,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
16;33090351;CE Doutor Rodolpho Siqueira;00.868.387/0001-00;6666 - 0000001856; R$ 7.796,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
17;33090378;CE Eliza Maria Dutra;01.189.465/0001-03;2095 - 0000017043; R$ 8.994,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
18;33089388;CE Frederico Azevedo;01.343.589/0001-93;1128 - 0000042803; R$ 15.125,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
19;33089060;CE Ismael Branco;00.783.912/0001-87;0543 - 0001425501; R$ 11.171,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
20;33089396;CE Lauro Corrêa;00.970.501/0001-09;1128 - 0000042757; R$ 7.589,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
21;33114366;CE Mário Tamborindeguy;02.937.821/0001-84;2095 - 0000016810; R$ 7.223,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
22;33090882;CE Mauá;00.785.843/0001-40;2034 - 0000535362; R$ 5.916,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
23;33091447;CE Melchíades Picanço;01.103.958/0001-70;2812 - 0000212202; R$ 7.259,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
24;33089086;CE Ministro José de Moura e Silva;01.251.816/0001-50;6666 - 0000001619; R$ 14.755,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
25;33089426;CE Monsenhor Barenco Coelho;00.830.850/0001-17;0543 - 0001412175; R$ 13.153,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
26;33089094;CE Nilo Peçanha;00.780.719/0001-92;6462 - 0000000540; R$ 14.206,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
27;33089124;CE Padre Manuel da Nóbrega;01.268.185/0001-82;6023 - 0000005851; R$ 9.032,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
28;33089108;CE Pandiá Calógeras;00.848.474/0001-98;2190 - 0000036803; R$ 28.065,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
29;33091765;CE Paulino Pinheiro Baptista;00.783.913/0001-21;6023 - 0000006335; R$ 9.918,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
30;33090440;CE Professor Francisco de Paula Achilles;01.121.273/0001-57;2190 - 0000037800; R$ 4.760,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
31;33090424;CE Professora Adélia Martins;30.359.723/0001-42;2095 - 0000018104; R$ 7.466,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
32;33089469;CE Professora Antonieta Palmeira;01.847.273/0001-39;6666 - 0000002020; R$ 10.566,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
33;33090432;CE Professora Dalila de Oliveira Costa;01.335.362/0001-04;2095 - 0000024252; R$ 6.884,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
34;33091900;CE Professora Luiza Honória do Prado;00.793.730/0001-97;6462 - 0000002941; R$ 4.433,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
35;33090459;CE Professora Odysséa Silveira de Siqueira  ;07.429.614/0001-32 ;2095 - 0000016896; R$ 6.524,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
36;33091196;CE Santos Dias;01.898.623/0001-96;2812 - 0000212660; R$ 13.131,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
37;33090726;CE Trasilbo Filgueiras;00.683.916/0001-93;1128 - 0000043192; R$ 16.811,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
38;33090904;CE Vila Guarani;00.954.051/0001-52;2095 - 0000017035; R$ 4.730,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
39;33090475;CE Vital Brasil;00.824.336/0001-79;2095 - 0000019372; R$ 5.619,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
40;33091200;CE Walter Orlandine;27.773.662/0001-50;2812 - 0000212350; R$ 17.344,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
41;33089337;EE Capitão Belarmino de Mattos;01.069.177/0001-07;2812 - 0000213160; R$ 3.523,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
42;33091854;EE Cônego Goulart;01.243.988/0001-82;6023 - 0000006009; R$ 4.079,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
43;33089370;EE Cruzeiro do Sul;01.290.505/0001-09;1128 - 0000041440; R$ 3.327,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
44;33090394;EE Frederico Ozanam;02.637.736/0001-09;2812 - 0000212547; R$ 1.982,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
45;33090874;EE Leonor Franco Moreira;03.316.462/0001-00;2034 - 0000535702; R$ 6.109,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
46;33090890;EE Professora Abigail Cardoso;02.349.022/0001-97;2034 - 0000536415; R$ 1.700,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
47;33088969;CIEP 041 Vital Brazil;00.972.167/0001-14;1128 - 0000042706; R$ 5.965,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
48;33090670;CIEP 050 Pablo Neruda;02.301.657/0001-14;2190 - 0000037303; R$ 10.413,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
49;33088950;CIEP 052 Professora Romanda Gouveia Gonçalves;00.903.137/0001-56;6462 - 0000000493; R$ 6.950,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
50;33090653;CIEP 121 ProfessorJoadélio Codeço;01.101.820/0001-32;1128 - 0000042560; R$ 9.521,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
51;33090149;CIEP 122  Professora Ermezinda Dionísio Neco;00.839.705/0001-05;2095 - 0000017426; R$ 11.188,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
52;33090157;CIEP 126 Almedorina Azeredo;00.855.042/0001-04;1186 - 0000037311; R$ 7.903,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
53;33103909;CIEP 238 Doutor Ilton Faria da Costa;00.920.695/0001-20;2095 - 0000016942; R$ 11.917,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
54;33090688;CIEP 239 ProfessoraElza Vianna Fialho;00.780.698/0001-05;2095 - 0000019860; R$ 11.843,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
55;33088926;CIEP 240 ProfessorHaroldo F. Valladão;00.913.034/0001-77;2095 - 0000017000; R$ 7.441,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
56;33091757;CIEP 246 Professora Adalgisa Cabral de Farias;01.331.532/0001-74;6023 - 0000014737; R$ 12.454,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
57;33088942;CIEP 248 Professor Tulio Rodrigues Perlingeiro;02.054.777/0001-64;1128 - 0000042552; R$ 7.666,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
58;33088900;CIEP 249 Pastor Waldemar Zarro;01.060.767/0001-79;6462 - 0000000973; R$ 13.285,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
59;33088896;CIEP 306 Deputado David Quinderé;00.808.888/0001-93;2034 - 0000536270; R$ 10.122,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
60;33096970;CIEP 309 Zuzu Angel;01.189.459/0001-48;1128 - 0000042480; R$ 16.628,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
61;33103887;CIEP 408 Sérgio Cardoso;02.675.492/0001-40;1128 - 0000043001; R$ 3.600,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
62;33104182;CIEP 409 Professora Alaíde F. dos Santos;00.975.802/0001-17;2095 - 0000017086; R$ 10.370,80 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
63;33090173;CIEP 410 Patrícia Rendler Galvão   Pagu;01.906.316/0001-00;2095 - 0000017256; R$ 9.869,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
64;33096988;CIEP 412 Euryclides de Jesus Zerbini;01.454.810/0001-80;2190 - 0000037109; R$ 10.113,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
65;33103879;CIEP 413 Adão Pereira Nunes;00.903.139/0001-45;6023 - 0000006351; R$ 12.841,40 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
66;33103925;CIEP 421 Deputada Cristina Tavares;01.276.594/0001-20;2095 - 0000017060; R$ 5.047,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
67;33103941;CIEP 422 Nicanor Ferreira Nunes;00.780.711/0001-26;6666 - 0000001953; R$ 4.200,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
68;33103917;CIEP 423 Mora Guimarães;01.465.170/0001-04;2095 - 0000017019; R$ 7.159,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
69;33088870;CIEP 430 Carlos Marighela;01.449.053/0001-57;0543 - 0001418130; R$ 7.234,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
70;33103968;CIEP 439 Luiz Gonzaga Junior;00.793.728/0001-18;1128 - 0000042501; R$ 6.705,60 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
71;33090165;CIEP 440 Major Joaquim de A. Coutinho;01.327.779/0001-17;2190 - 0000037400; R$ 3.600,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
72;33518238;CIEP 513 George Savalla Gomes Palhaço Carequinha ;12.360.017/0001-39;2190 - 0000036706; R$ 6.085,20 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
73;33089841;IE Clélia Nanci;30.333.090/0001-01;6462 - 0000000752; R$ 26.289,00 ;2021NE01513;2021NL01383;2021PD01744;2021LB17979
74;33091323;CE SUBTENENTE PM MARCO ANTONIO GRIPP;01.279.129/0001-43;0; R$ 4.800,00 ;2021NE01525;2021NL01395;2021PD01763;IMPEDIDA
